Ship_id,Prod_id,Ord_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Customer_Name,City,State,Country,Customer_Segment,Order_ID_x,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Order_ID_y,Ship_Mode,Ship_Date
SHP_1,Prod_1,Ord_1,Cust_1,261.54,0.04,6,-213.25,35,0.8,MUHAMMED MACINTYRE,Kolkatta,West Bengal,India,SMALL BUSINESS,3,10/13/2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,3,REGULAR AIR,10/20/2010
SHP_10,Prod_7,Ord_8,Cust_8,124.56,0.04,32,-14.33,2,0.53,NEOLA SCHNEIDER,Kolkatta,West Bengal,India,HOME OFFICE,807,11/23/2010,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,807,REGULAR AIR,11/24/2010
SHP_10,Prod_6,Ord_8,Cust_8,196.85,0.01,45,-166.85,6.18,0.4,NEOLA SCHNEIDER,Kolkatta,West Bengal,India,HOME OFFICE,807,11/23/2010,MEDIUM,OFFICE SUPPLIES,PAPER,807,REGULAR AIR,11/24/2010
SHP_100,Prod_11,Ord_75,Cust_50,4679.1,0.05,26,111.52,29.21,0.74,JAMIE KUNITZ,Mumbai,Maharashtra,India,CORPORATE,11941,06/24/2010,CRITICAL,FURNITURE,TABLES,11941,DELIVERY TRUCK,06/25/2010
SHP_1000,Prod_5,Ord_735,Cust_237,823.63,0.03,44,375.02,3.77,0.39,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,14471,05/26/2011,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,14471,REGULAR AIR,05/26/2011
SHP_1001,Prod_6,Ord_735,Cust_237,286.73,0.05,42,-141.51,7.49,0.37,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,14471,05/26/2011,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,14471,REGULAR AIR,05/28/2011
SHP_1002,Prod_15,Ord_736,Cust_254,3819.42,0.1,44,-821.87,42,0.66,LENA HERNANDEZ,Chennai,Tamil Nadu,India,HOME OFFICE,14529,09/20/2010,LOW,FURNITURE,CHAIRS & CHAIRMATS,14529,DELIVERY TRUCK,09/24/2010
SHP_1003,Prod_5,Ord_736,Cust_254,208.78,0.05,42,24.87,2.03,0.51,LENA HERNANDEZ,Chennai,Tamil Nadu,India,HOME OFFICE,14529,09/20/2010,LOW,FURNITURE,OFFICE FURNISHINGS,14529,REGULAR AIR,09/22/2010
SHP_1004,Prod_10,Ord_737,Cust_240,647.78,0,6,-144.87,35.84,0.62,SHAHID HOPKINS,Chennai,Tamil Nadu,India,SMALL BUSINESS,14948,05/28/2011,MEDIUM,FURNITURE,BOOKCASES,14948,DELIVERY TRUCK,05/29/2011
SHP_1005,Prod_4,Ord_738,Cust_241,2692.6895,0.03,49,768.32,4.2,0.55,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,16161,07/28/2012,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,16161,REGULAR AIR,07/29/2012
SHP_1006,Prod_7,Ord_738,Cust_241,151.19,0.03,38,60.63,0.71,0.39,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,16161,07/28/2012,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,16161,REGULAR AIR,07/30/2012
